Time resolution is 1 ps
Time	 PCD	 InstrD		 InstrD19_15	 InstrD24_20	 InstrD11_7	 RegWriteE	 ImmSrcD	 AluSrcE	 MemWriteD	 ResultSrcE	 BranchE	 AluControlE	   JumpE		 RD1E	 RD2E	 RDE
0		 0		 00000000		 0				 0				 0			 0		  xx		  0			  x			  00			 0			  000			  0			  0		  0		  0		
10		 0		 00020233		 4				 0				 4			 x		  xx		  x			  0			  xx			 x			  xxx			  x			  0		  0		  0		
20		 0		 00422083		 4				 4				 1			 1		  00		  0			  0			  00			 0			  000			  0			  4		  0		  4		
30		 4		 00822103		 4				 8				 2			 1		  00		  1			  0			  01			 0			  000			  0			  4		  4		  1		
40		 8		 00c22183		 4				 12				 3			 1		  00		  1			  0			  01			 0			  000			  0			  4		  x		  2		
50		 12		 00000013		 0				 0				 0			 1		  00		  1			  0			  01			 0			  000			  0			  4		  x		  3		
60		 16		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
70		 20		 002080b3		 1				 2				 1			 1		  xx		  1			  0			  00			 0			  000			  0			  0		  0		  0		
80		 24		 00000013		 0				 0				 0			 1		  00		  0			  0			  00			 0			  000			  0			  X		  X		  1		
90		 28		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
100		 32		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
110		 36		 003080b3		 1				 3				 1			 1		  xx		  1			  0			  00			 0			  000			  0			  0		  0		  0		
120		 40		 00000013		 0				 0				 0			 1		  00		  0			  0			  00			 0			  000			  0			  Z		  X		  1		
130		 44		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
140		 48		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
150		 52		 001080b3		 1				 1				 1			 1		  xx		  1			  0			  00			 0			  000			  0			  0		  0		  0		
160		 56		 00000013		 0				 0				 0			 1		  00		  0			  0			  00			 0			  000			  0			  Z		  Z		  1		
170		 60		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
180		 64		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
190		 68		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
200		 72		 004080b3		 1				 4				 1			 1		  xx		  1			  0			  00			 0			  000			  0			  0		  0		  0		
210		 76		 00000013		 0				 0				 0			 1		  00		  0			  0			  00			 0			  000			  0			  Z		  Z		  1		
220		 80		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
230		 84		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
240		 88		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
250		 92		 00000013		 0				 0				 0			 1		  00		  1			  0			  00			 0			  000			  0			  0		  0		  0		
$finish called at time : 260 ns : File "C:/Users/Robles/Downloads/IF_class_discussion-2/IF_class_discussion/IF_class_discussion.srcs/sources_1/new/IDecode.sv" Line 58
